                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4979,                 3.2676,                 2.1336,                 2.2036,                 3.7386,                 1.8086,                0.04963,                0.01961,                0.01691,                 0.0053,                 2.4363,                 3.4757,                 2.2544,                 2.0655,                 4.6692,                 1.8146,               0.006832,               0.006832,               0.006832
                     35,                 2.4725,                 3.2247,                 2.1193,                 2.1959,                 3.6689,                 1.7916,                0.02803,                0.03922,                0.01534,                 0.0043,                 2.4573,                 3.5574,                 2.3203,                 2.1458,                 7.3476,                 1.9156,               0.006733,               0.006733,               0.006733
                     36,                 2.4495,                 3.1934,                 2.0984,                 2.1802,                  3.672,                 1.7944,                 0.0016,                0.81863,                0.02097,                 0.0061,                  2.497,                  3.619,                  2.358,                 2.1458,                 4.1406,                 1.9138,               0.006634,               0.006634,               0.006634
                     37,                 2.4769,                 3.2263,                 2.0905,                 2.1792,                 3.6805,                 1.7572,                0.28625,                0.01471,                0.02516,                0.00857,                  2.556,                 3.7358,                 2.4052,                  2.129,                  4.168,                 1.8738,               0.006535,               0.006535,               0.006535
                     38,                 2.4495,                 3.1873,                 2.0837,                 2.1774,                 3.6711,                 1.7542,                0.21026,                 0.0098,                 0.0152,                0.00529,                 2.6741,                 3.7558,                 2.4383,                 2.2704,                 4.2115,                 1.9814,               0.006436,               0.006436,               0.006436
                     39,                  2.455,                 3.1981,                 2.0714,                 2.1677,                 3.6615,                 1.7408,                0.09779,                0.04412,                  0.026,                 0.0089,                 2.5491,                  3.749,                  2.346,                 2.1822,                 4.2831,                 1.9416,               0.006337,               0.006337,               0.006337
                     40,                 2.4277,                 3.1144,                 2.0448,                 2.1599,                 3.5738,                 1.7279,                0.07959,                0.03922,                0.03115,                0.00824,                 2.4581,                 3.5724,                 2.2917,                 2.1644,                 3.9949,                 1.8681,               0.006238,               0.006238,               0.006238
                     41,                 2.4048,                 3.0992,                 2.0439,                  2.154,                 3.5639,                 1.7426,                0.21486,                0.04412,                0.03681,                 0.0098,                 2.5274,                 3.3945,                 2.2638,                 2.2101,                 3.8676,                 1.9312,               0.006139,               0.006139,               0.006139
                     42,                 2.3947,                 3.0695,                 2.0318,                 2.1263,                  3.554,                 1.7382,                0.09933,                0.07843,                 0.0273,                0.00784,                 2.4733,                  3.451,                 2.2926,                 2.1606,                 4.3924,                 1.8489,                0.00604,                0.00604,                0.00604
                     43,                 2.3875,                 3.0628,                 2.0236,                 2.1495,                 3.5147,                  1.722,                0.15266,                0.05392,                 0.0311,                0.00869,                 2.4354,                 3.4487,                 2.2024,                  2.136,                  4.086,                 1.8316,               0.005941,               0.005941,               0.005941
                     44,                 2.4158,                 3.0165,                 2.0596,                 2.1597,                 3.5003,                 1.7774,                0.15017,                0.05392,                0.02233,                 0.0067,                 2.4814,                 3.6163,                 2.2635,                 2.1118,                 4.1268,                 1.9033,               0.005842,               0.005842,               0.005842
                     45,                 2.3728,                 3.0161,                 2.0148,                 2.1204,                 3.5028,                 1.7441,                0.10374,                0.04412,                 0.0359,                0.01195,                 2.4968,                 3.3173,                 2.2168,                 2.1882,                 6.5948,                 1.8432,               0.005743,               0.005743,               0.005743
                     46,                 2.3693,                 2.9969,                 2.0121,                 2.1268,                 3.4594,                 1.7179,                0.18767,                0.03965,                0.04629,                0.01613,                 2.3573,                 3.4614,                 2.2829,                 2.1249,                 4.4683,                 1.8706,               0.005644,               0.005644,               0.005644
                     47,                 2.3646,                 2.9701,                 2.0173,                 2.1295,                 3.4445,                 1.7193,                0.05452,                0.05392,                0.02395,                0.00744,                 2.4737,                 3.3309,                 2.2489,                 2.1368,                 23.963,                 1.8869,               0.005545,               0.005545,               0.005545
                     48,                 2.3651,                 2.9389,                 2.0135,                 2.0892,                 3.4155,                 1.7027,                0.15699,                0.03431,                0.02949,                 0.0109,                 2.6241,                 3.6605,                 2.4282,                 2.3126,                 4.1983,                 2.0049,               0.005446,               0.005446,               0.005446
                     49,                 2.3319,                 2.9395,                 2.0041,                 2.0948,                 3.4221,                 1.7191,                0.41224,                0.06863,                0.06941,                0.02006,                 2.3331,                  3.358,                 2.1952,                  1.995,                 3.8334,                 1.7827,               0.005347,               0.005347,               0.005347
                     50,                 2.3384,                 2.9268,                 1.9875,                 2.0726,                 3.4224,                 1.6953,                0.12365,                0.10294,                0.03256,                0.01123,                 2.3825,                 3.3055,                 2.1933,                 2.1142,                 5.5378,                 1.8586,               0.005248,               0.005248,               0.005248
                     51,                 2.3114,                 2.8858,                 1.9723,                 2.0838,                 3.3734,                    1.7,                0.13358,                0.06373,                0.03654,                0.01127,                 2.4204,                 3.2918,                 2.1974,                 2.0459,                 3.9097,                 1.7799,               0.005149,               0.005149,               0.005149
                     52,                 2.3266,                 2.8567,                 1.9959,                 2.1222,                 3.3173,                 1.7358,                0.10771,                0.04902,                 0.0441,                0.01287,                 2.4769,                 3.4731,                 2.2426,                 2.1742,                 3.9243,                  1.962,                0.00505,                0.00505,                0.00505
                     53,                 2.3281,                 2.9332,                  1.988,                 2.1145,                 3.3894,                 1.7101,                 0.3263,                0.04412,                0.04215,                0.01437,                 2.5212,                 3.7715,                 2.3643,                 2.1783,                 4.1273,                 1.8781,               0.004951,               0.004951,               0.004951
                     54,                 2.2929,                 2.8703,                 1.9694,                 2.0658,                 3.3448,                 1.6779,                0.15129,                0.05392,                0.06173,                0.01878,                 2.4073,                  3.419,                 2.2617,                 2.0698,                 3.7893,                 1.8447,               0.004852,               0.004852,               0.004852
                     55,                 2.2909,                 2.8183,                 1.9597,                 2.0841,                 3.2894,                 1.6848,                 0.2184,                0.05392,                0.07065,                0.01759,                 2.4088,                 3.2533,                 2.2062,                 2.1361,                 3.6897,                 1.8349,               0.004753,               0.004753,               0.004753
                     56,                    2.3,                 2.8287,                 1.9774,                 2.0787,                 3.2818,                 1.6722,                0.36449,                0.06863,                0.06944,                 0.0219,                 2.4266,                 3.2744,                 2.2842,                  2.107,                 3.7328,                 1.8262,               0.004654,               0.004654,               0.004654
                     57,                 2.2877,                 2.7992,                  1.937,                 2.0816,                 3.2577,                 1.6564,                0.20672,                0.08824,                 0.0811,                0.02058,                 2.4355,                 3.1559,                 2.1832,                 2.0931,                 3.6013,                 1.7904,               0.004555,               0.004555,               0.004555
                     58,                  2.254,                 2.8022,                 1.9372,                 2.0722,                 3.2519,                 1.6522,                0.17153,                0.04902,                0.04012,                0.01023,                 2.4367,                 3.4583,                 2.2463,                  2.181,                 3.9291,                   1.88,               0.004456,               0.004456,               0.004456
                     59,                  2.248,                 2.8162,                 1.9344,                 2.0522,                 3.2823,                 1.6656,                0.16045,                0.09314,                0.06366,                0.01843,                 2.3643,                 3.1721,                 2.2407,                 2.0345,                 3.6575,                 1.8077,               0.004357,               0.004357,               0.004357
                     60,                 2.2666,                  2.769,                 1.9472,                 2.0561,                 3.2653,                 1.7035,                0.28715,                0.06912,                0.06697,                0.02274,                 2.3986,                 3.2659,                 2.2645,                 2.1076,                 3.7557,                 1.8942,               0.004258,               0.004258,               0.004258
                     61,                 2.2332,                 2.7743,                 1.9238,                 2.0198,                 3.2462,                 1.6781,                0.28334,                0.07843,                0.07522,                0.02289,                 2.4261,                 3.1911,                 2.2057,                 2.0901,                 3.6941,                 1.8154,               0.004159,               0.004159,               0.004159
                     62,                 2.2599,                 2.6935,                 1.9043,                 2.0333,                 3.1824,                 1.6627,                0.32928,                0.09314,                0.09092,                0.02969,                 2.4171,                 3.2422,                 2.2315,                 2.1416,                 3.6427,                 1.9439,                0.00406,                0.00406,                0.00406
                     63,                 2.2279,                 2.6865,                 1.8911,                 2.0376,                   3.15,                 1.6561,                0.20979,                0.09314,                0.05883,                0.01816,                 2.3682,                 3.1902,                  2.172,                 2.0672,                 3.6941,                 1.8212,               0.003961,               0.003961,               0.003961
                     64,                 2.2261,                 2.6777,                  1.897,                  2.047,                 3.1243,                 1.6489,                0.31207,                0.10784,                0.09581,                0.02699,                  2.417,                 3.1209,                 2.1791,                 2.1851,                 3.4718,                 1.8231,               0.003862,               0.003862,               0.003862
                     65,                 2.2095,                 2.6421,                 1.9048,                 2.0288,                 3.0965,                 1.6548,                0.19173,                0.11765,                0.05702,                0.01754,                 2.4168,                 3.3016,                 2.2005,                 2.0917,                 3.7587,                 1.7997,               0.003763,               0.003763,               0.003763
                     66,                  2.207,                 2.6395,                 1.8744,                 2.0346,                 3.1001,                 1.6666,                0.13034,                0.08824,                0.04727,                0.01557,                 2.4083,                 3.5325,                 2.2273,                 2.1402,                 4.3276,                 1.9137,               0.003664,               0.003664,               0.003664
                     67,                 2.1985,                  2.631,                 1.8804,                 2.0204,                 3.1087,                 1.6497,                0.15089,                0.12255,                0.04066,                0.01159,                  2.491,                 3.2917,                  2.289,                 2.2584,                 6.7631,                 1.9091,               0.003565,               0.003565,               0.003565
                     68,                 2.1894,                 2.5584,                  1.858,                 2.0023,                 3.0416,                 1.6339,                 0.2468,                0.12255,                0.08954,                0.02894,                 2.4259,                 3.0944,                 2.2009,                 2.2014,                 3.5959,                 1.8744,               0.003466,               0.003466,               0.003466
                     69,                 2.1858,                  2.601,                  1.876,                 2.0017,                 3.0856,                 1.6235,                0.10517,                0.11765,                0.03874,                0.01261,                 2.4381,                 3.6366,                 2.2557,                  2.192,                 8.9764,                 1.8967,               0.003367,               0.003367,               0.003367
